Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
68.95,35,61833.9,256.09,Cloned 5Thgeneration Orchestration,Wrightburgh,0,Tunisia,27-03-2016 00:53,0
80.23,31,68441.85,193.77,Monitored National Standardization,West Jodi,1,Nauru,04-04-2016 01:39,0
69.47,26,59785.94,236.5,Organic Bottom-Line Service-Desk,Davidton,0,San Marino,13-03-2016 20:35,0
74.15,29,54806.18,245.89,Triple-Buffered Reciprocal Time-Frame,West Terrifurt,1,Italy,10-01-2016 02:31,0
68.37,35,73889.99,225.58,Robust Logistical Utilization,South Manuel,0,Iceland,03-06-2016 03:36,0
59.99,23,59761.56,226.74,Sharable Client-Driven Software,Jamieberg,1,Norway,19-05-2016 14:30,0
88.91,33,53852.85,208.36,Enhanced Dedicated Support,Brandonstad,0,Myanmar,28-01-2016 20:59,0
66,48,24593.33,131.76,Reactive Local Challenge,Port Jefferybury,1,Australia,07-03-2016 01:40,1
74.53,30,68862,221.51,Configurable Coherent Function,West Colin,1,Grenada,18-04-2016 09:33,0
69.88,20,55642.32,183.82,Mandatory Homogeneous Architecture,Ramirezton,1,Ghana,11-07-2016 01:42,0
47.64,49,45632.51,122.02,Centralized Neutral Neural-Net,West Brandonton,0,Qatar,16-03-2016 20:19,1
83.07,37,62491.01,230.87,Team-Oriented Grid-Enabled Local Area Network,East Theresashire,1,Burundi,08-05-2016 08:10,0
69.57,48,51636.92,113.12,Centralized Content-Based Focus Group,West Katiefurt,1,Egypt,03-06-2016 01:14,1
79.52,24,51739.63,214.23,Synergistic Fresh-Thinking Array,North Tara,0,Bosnia and Herzegovina,20-04-2016 21:49,0
42.95,33,30976,143.56,Grass-Roots Coherent Extranet,West William,0,Barbados,24-03-2016 09:31,1
63.45,23,52182.23,140.64,Persistent Demand-Driven Interface,New Travistown,1,Spain,09-03-2016 03:41,1
55.39,37,23936.86,129.41,Customizable Multi-Tasking Website,West Dylanberg,0,Palestinian Territory,30-01-2016 19:20,1
82.03,41,71511.08,187.53,Intuitive Dynamic Attitude,Pruittmouth,0,Afghanistan,02-05-2016 07:00,0
54.7,36,31087.54,118.39,Grass-Roots Solution-Oriented Conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),13-02-2016 07:53,1
74.58,40,23821.72,135.51,Advanced 24/7 Productivity,Millertown,1,Russian Federation,27-02-2016 04:43,1
77.22,30,64802.33,224.44,Object-Based Reciprocal Knowledgebase,Port Jacqueline,1,Cameroon,05-01-2016 07:52,0
84.59,35,60015.57,226.54,Streamlined Non-Volatile Analyzer,Lake Nicole,1,Cameroon,18-03-2016 13:22,0
41.49,52,32635.7,164.83,Mandatory Disintermediate Utilization,South John,0,Burundi,20-05-2016 08:49,1
87.29,36,61628.72,209.93,Future-Proofed Methodical Protocol,Pamelamouth,1,Korea,23-03-2016 09:43,0
41.39,41,68962.32,167.22,Exclusive Neutral Parallelism,Harperborough,0,Tokelau,13-06-2016 17:27,1
78.74,28,64828,204.79,Public-Key Foreground Groupware,Port Danielleberg,1,Monaco,27-05-2016 15:25,0
48.53,28,38067.08,134.14,Ameliorated Client-Driven Forecast,West Jeremyside,1,Tuvalu,08-02-2016 10:46,1
51.95,52,58295.82,129.23,Monitored Systematic Hierarchy,South Cathyfurt,0,Greece,19-07-2016 08:32,1
70.2,34,32708.94,119.2,Open-Architected Impactful Productivity,Palmerside,0,British Virgin Islands,14-04-2016 05:08,1
